,Country,Dist_KM,Dist_Miles,Dist_NM,FlightTime_Hr,FlightSpeed_mph
203,East Timor,6070.9,3772.29,3275.85,6.65,567.0
204,Turkmenistan,2759.32,1714.56,1488.93,3.02,567.0
205,Tunisia,6895.68,4284.78,3720.9,7.56,567.0
206,Tonga,12389.5,7698.48,6685.36,13.58,567.0
207,Turkey,4630.95,2877.54,2498.85,5.08,567.0
208,Trinidad and Tobago,14442.25,8974.0,7793.02,15.83,567.0
209,Tuvalu,11184.84,6949.94,6035.32,12.26,567.0
210,Taiwan,4323.79,2686.68,2333.11,4.74,567.0
211,Tanzania,5670.33,3523.38,3059.7,6.21,567.0
212,Ukraine,5237.99,3254.74,2826.41,5.74,567.0
213,Uganda,5494.52,3414.14,2964.84,6.02,567.0
214,United States,13576.02,8435.75,7325.6,14.88,567.0
215,Uruguay,15357.8,9542.89,8287.05,16.83,567.0
216,Uzbekistan,2678.23,1664.18,1445.17,2.94,567.0
217,Vatican,6578.1,4087.44,3549.54,7.21,567.0
218,Saint Vincent and the Grenadines,14285.96,8876.88,7708.68,15.66,567.0
219,Venezuela,15199.41,9444.47,8201.58,16.66,567.0
220,British Virgin Islands,14136.4,8783.95,7627.98,15.49,567.0
221,U.S. Virgin Islands,14162.0,8799.86,7641.8,15.52,567.0
222,Vietnam,3190.14,1982.26,1721.39,3.5,567.0
223,Vanuatu,10400.45,6462.54,5612.07,11.4,567.0
224,Wallis and Futuna,11960.44,7431.87,6453.84,13.11,567.0
225,Samoa,12481.13,7755.41,6734.8,13.68,567.0
226,Yemen,3261.7,2026.73,1760.01,3.57,567.0
227,Mayotte,5239.75,3255.83,2827.36,5.74,567.0
228,South Africa,8254.63,5129.19,4454.19,9.05,567.0
229,Zambia,6727.39,4180.21,3630.09,7.37,567.0
230,Zimbabwe,6986.69,4341.33,3770.01,7.66,567.0
